Sale_Price,Gr_Liv_Area,Garage_Area
215000,1656,528
105000,896,730
172000,1329,312
244000,2110,522
189900,1629,482
195500,1604,470
213500,1338,582
191500,1280,506
236500,1616,608
189000,1804,442
175900,1655,440
185000,1187,420
180400,1465,393
171500,1341,506
212000,1502,528
538000,3279,841
164000,1752,492
394432,1856,834
141000,864,400
210000,2073,500
190000,1844,546
170000,1173,528
216000,1674,663
149000,1004,480
149900,1078,500
142000,1056,304
126000,882,525
115000,864,0
184000,1337,511
96000,987,264
105500,1092,320
88000,1092,264
127500,1069,440
149900,1456,440
120000,836,308
146000,1456,440
376162,2334,751
306000,1704,772
395192,1940,606
290941,1544,868
220000,1541,532
275000,1698,730
259000,1822,678
214000,1535,532
611657,2364,820
224000,1358,484
500000,2696,958
320000,2250,756
319900,1752,576
205000,1370,484
175500,1626,474
199500,1324,430
160000,1145,437
192000,1269,430
184500,1374,400
216500,1960,440
185088,1733,433
180000,1430,400
222500,2035,434
333168,2599,779
355000,2475,962
260400,1720,527
325000,2622,712
290000,2270,671
221000,1839,486
410000,3238,666
221500,1595,880
204500,1218,676
215200,1547,614
262500,1566,750
254900,1947,678
271500,1468,528
233000,2084,618
181000,1659,484
205000,2110,463
143000,923,264
189000,1845,462
99500,918,264
125000,752,264
194500,1744,457
152000,1097,480
171000,1564,476
67500,1012,429
112000,1902,539
148000,1155,576
138500,894,336
122000,900,280
133000,1040,308
127000,1040,260
169000,1494,461
190000,1923,564
362500,2349,762
285000,2225,713
260000,1488,506
190000,1680,588
155000,1200,480
151000,1200,480
149500,1200,480
152000,1236,480
222000,1478,484
177500,1573,440
177000,1512,440
155000,1416,484
147110,1080,496
267916,1418,852
254000,1848,592
155000,788,484
206000,1226,484
130500,1479,475
230000,1492,596
218500,1829,535
243500,2495,660
205000,1610,480
212500,1891,678
196500,1714,496
197500,1381,676
171000,1645,441
142250,1232,490
143000,1328,528
128950,1225,0
159000,1209,504
178900,1510,517
136300,1775,480
180500,1152,484
137500,1054,480
84900,1728,0
142125,1078,240
197600,2461,400
172500,1556,470
116500,858,0
76500,1306,0
128000,1063,280
153000,1520,364
132000,1268,244
178000,1128,315
154300,2274,480
180000,2207,576
190000,1888,578
135000,1604,576
214000,1480,620
136000,1143,308
165500,1700,447
145000,1314,294
148000,1194,312
142000,1188,531
167500,1264,461
108538,1206,312
159500,1580,440
108000,1337,263
135000,1064,318
122500,972,305
119000,988,264
109000,1057,246
105000,985,676
107500,827,392
144900,1086,490
129000,936,308
97500,1458,330
144000,1056,576
162000,1287,576
242000,2978,564
132000,1224,280
154000,1246,305
166000,1385,720
134800,900,576
160000,1116,440
148000,1175,484
192000,1395,440
155000,1839,442
80400,1844,240
96500,1140,0
109500,936,0
115000,1028,360
143000,1347,551
107400,1605,379
80000,747,220
119000,804,240
130000,1316,484
119000,1251,240
129000,1633,240
100000,1245,315
12789,832,780
105900,720,484
150000,1566,288
139000,1652,416
240000,2268,624
